"","Tank","mean_pHT","sd_pHT","min_pHT","max_pHT","mean_Salinity","sd_Salinity","min_Salinity","max_Salinity","mean_Temperature","sd_Temperature","min_Temperature","max_Temperature","mean_Oxygen","sd_Oxygen","min_Oxygen","max_Oxygen","mean_Oxygen_mgL","sd_Oxygen_mgL","min_Oxygen_mgL","max_Oxygen_mgL"
"1","Tank1",8.12435483870968,0.133932981823809,7.58,8.54,33.9416532258065,0.481006124084253,32.49,37.33,9.40479838709677,1.11064847731374,6.8,12.3,100.195967741935,3.52806903623799,92.6,110.6,9.25709677419355,0.420572723435619,8.36,10.38
"2","Tank10",7.83481755206622,0.172893350318381,7.20716200005311,8.37646266163105,34.0398260869565,0.268267879575054,32.94,34.56,8.82173913043478,0.818111854140804,7,12.4,98.9904347826087,3.28868574944615,85.4,107.8,9.24639130434783,0.349469371827422,8.32,10.07
"3","Tank11",7.82077820763486,0.18293855222309,7.04110690240879,8.35448271878753,34.0897510373444,0.234859754802739,33.06,34.58,9.00788381742739,0.957198648720334,7.2,13.5,99.2058091286307,3.10295011992614,85.7,107.3,9.21429875518672,0.37841557011674,7.59,10.06
"4","Tank12",7.80118564779067,0.188119393043182,6.79649669060368,8.33346309609925,34.0690456431535,0.248564885039477,33.1,34.58,9.01161825726141,0.912614077069427,7.1,13.8,99.7344398340249,2.33004305162086,92.5,106.3,9.26182572614108,0.311108211884666,7.83,10.01
"5","Tank13",7.75600034721144,0.193982749523795,6.85059306137502,8.3416068242157,34.0933609958506,0.250482680650121,33.02,35.38,8.86224066390042,0.896907627261334,7.1,13.1,99.3663900414938,2.80756252478321,88.1,107.8,9.24900414937759,0.351587832766405,7.53,9.99
"6","Tank14",7.76520403253886,0.216941063561221,7.00918296701951,8.35187205437473,34.0629223744292,0.251090554230329,33.09,34.81,8.61232876712329,0.693140414732563,6.6,10.8,99.9337899543379,2.58534148928703,85.7,106.1,9.35908675799087,0.291276984036414,8.02,10.12
"7","Tank15",7.70517186765931,0.172269331937968,7.13140772350305,8.40008149613,34.0946031746032,0.327373103163868,33.01,37.63,8.7202380952381,0.876807832399615,6.4,12.5,99.4604365079365,3.06585907056639,85.1,107,9.28634920634921,0.369732547192631,7.63,10.25
"8","Tank16",7.71081175386128,0.252213054516328,6.9461974453315,8.40840172397245,34.0672043010753,0.247075283817084,33.13,34.55,8.69784946236559,0.770254923701365,6.1,11,100.098924731183,2.432460421551,91.5,105.1,9.35591397849462,0.277351320030146,8.46,9.98
"9","Tank17",7.63919133284704,0.194513300121905,7.01365827755399,8.44130976550338,34.071235059761,0.26663771024725,32.43,34.82,8.48286852589641,0.876165132064396,5.4,11.4,99.6027888446215,2.55266766172862,90.5,106.5,9.36482071713147,0.309839099742243,8.1,10.2
"10","Tank18",7.60570688237891,0.202974147301794,7.02905134991236,8.34982782753794,34.0757407407407,0.254219109682614,33.01,34.8,8.58194444444444,0.892812601325312,6,10.8,99.8671296296296,2.594284075075,91.2,106.8,9.35675925925926,0.295499037746684,8.13,10.15
"11","Tank2",8.09653782337119,0.136762350398655,7.4965002070395,8.47549877483571,34.0088306451613,0.365465489252268,31.06,34.79,9.36451612903226,1.07211196076667,7.1,12,100.367540322581,3.66613299983192,91.2,112.5,9.25431451612903,0.44299534121595,7.97,10.57
"12","Tank3",8.12100806451613,0.133765883825402,7.53,8.52,34.0147177419355,0.313146369534719,32.14,35.35,9.14798387096774,1.00669618769205,6.6,11.6,100.791532258065,3.75817178060802,90.5,112,9.33701612903226,0.44708408367605,7.91,10.55
"13","Tank4",7.75411869158218,0.210846309477344,6.74398863168764,8.39549574761661,34.07476,0.438716801739475,31.08,35.29,11.79908,0.895429466411101,7.7,13.8,92.6772,8.50539163752208,67.2,113.6,8.08172,0.865994704900476,3.23,10.11
"14","Tank5",7.77931104698687,0.173843160050885,7.30882277996609,8.39393708368681,34.068421686747,0.516366370633619,32.95,39.33,11.894578313253,0.781038340935743,7.4,13,93.5518072289157,9.54134502394266,55.3,113.4,8.16465863453815,0.989756804570339,1.62,10
"15","Tank6",7.81302102470933,0.210100670506332,6.68078025578538,8.42797917774998,34.37424,0.619569437230566,32.86,39.11,12.1592,0.98066414672644,7.6,14.9,92.64176,11.144148900714,35.1,120.5,8.02768,1.02566631178592,3.06,10.19
