"","Tank","Treatment","Time","Day","Sample","vol_mm3","Rate_per_day","TA_(mmol/kgSW)","TCO2_in_(mmol/kgSW)","pCO2_in_(matm)","ar_in","mean_pHT","mean_Salinity","mean_Temperature","mean_Oxygen"
"1",1,"Control","1","+ 85 days",1,9.08694388040584,-0.193797636811298,2280.333333,2133.595459,437.9335022,1.685130343,8.018166667,34.10916667,8.576666667,102.5983333
"2",1,"Control","2","+ 134 days",1,0.601608825595608,-1.90570235096091,2281,2068.276123,304.513916,2.294634692,8.188125,33.7540625,10.31875,99.896875
"3",1,"Control","1","+ 85 days",2,10.7442675804551,-0.0422813369668019,2280.333333,2133.595459,437.9335022,1.685130343,8.018166667,34.10916667,8.576666667,102.5983333
"4",1,"Control","2","+ 134 days",2,10.0871960632824,-0.124807230451299,2281,2068.276123,304.513916,2.294634692,8.188125,33.7540625,10.31875,99.896875
"5",1,"Control","3","+ 183 days",2,9.6585024426542,-0.0867322231637938,2265.702897,1953.829834,199.2834625,3.297238522,8.139444444,33.69944444,10.69416667,98.56944444
"6",1,"Control","1","+ 85 days",3,14.3348491242897,-0.0515313161074756,2280.333333,2133.595459,437.9335022,1.685130343,8.018166667,34.10916667,8.576666667,102.5983333
"7",1,"Control","2","+ 134 days",3,13.8989006243206,-0.0620648887581197,2281,2068.276123,304.513916,2.294634692,8.188125,33.7540625,10.31875,99.896875
"8",1,"Control","3","+ 183 days",3,15.6272852674343,0.253783784310181,2265.702897,1953.829834,199.2834625,3.297238522,8.139444444,33.69944444,10.69416667,98.56944444
"9",2,"Control","1","+ 85 days",4,7.17670336323142,-0.124546102202231,2283.733333,2126.801514,407.5585327,1.777214565,8.029342095,34.10183333,8.473333333,102.9166667
"10",2,"Control","2","+ 134 days",4,6.87359899192187,-0.0861928267483527,2273.9,2059.371582,298.7956848,2.310689996,8.177079574,33.8309375,10.178125,100.759375
"11",2,"Control","3","+ 183 days",4,7.07953703007442,0.0611443453435876,2268.955332,1923.553833,173.0848083,3.633551076,8.115845151,34.03027778,10.34722222,98.50416667
"12",2,"Control","1","+ 85 days",5,2.38462961541398,-0.463839609962844,2283.733333,2126.801514,407.5585327,1.777214565,8.029342095,34.10183333,8.473333333,102.9166667
"13",2,"Control","2","+ 134 days",5,2.15678500729088,-0.194994221812878,2273.9,2059.371582,298.7956848,2.310689996,8.177079574,33.8309375,10.178125,100.759375
"14",2,"Control","3","+ 183 days",5,2.66325176934755,0.479234431506296,2268.955332,1923.553833,173.0848083,3.633551076,8.115845151,34.03027778,10.34722222,98.50416667
"15",3,"Control","1","+ 85 days",8,4.82317423800384,-0.016384534507435,2292.5,2137.170898,415.7163696,1.768171046,8.03557377,34.09721311,8.436065574,103.795082
"16",3,"Control","2","+ 134 days",8,4.60874532979839,-0.0907307086892486,2276.5,2065.788818,305.8528137,2.27657469,8.1975,33.8975,9.9125,101.165625
"17",3,"Control","3","+ 183 days",8,4.44855912458945,-0.0709326724481191,2275.266667,1952.696777,187.1515045,3.399967342,8.151666667,34.08694444,10.09722222,98.39444444
"18",3,"Control","1","+ 85 days",9,12.8863208864595,-0.0691678408862738,2292.5,2137.170898,415.7163696,1.768171046,8.03557377,34.09721311,8.436065574,103.795082
"19",3,"Control","2","+ 134 days",9,12.490367974483,-0.0627073603411558,2276.5,2065.788818,305.8528137,2.27657469,8.1975,33.8975,9.9125,101.165625
"20",3,"Control","3","+ 183 days",9,12.5493754860305,0.00964130866281123,2275.266667,1952.696777,187.1515045,3.399967342,8.151666667,34.08694444,10.09722222,98.39444444
"21",3,"Control","4","+ 274 days",9,13.3588255597942,0.0708804654506249,2266.733333,2125.995117,495.7902832,1.655467599,8.113114754,33.9642623,9.57704918,98.53606557
"22",3,"Control","5","+ 358 days",9,13.7936003382147,0.0387450992313984,2270.233333,2060.326172,296.4770813,2.268490474,8.161578947,33.99754386,8.447368421,101.2385965
"23",4,"Triple Stressor","1","+ 85 days",11,10.590267938382,-0.123158436161662,2296.633333,2192.438232,655.6460571,1.356950747,7.700356238,34.0757377,10.8295082,96.08360656
"24",4,"Triple Stressor","2","+ 134 days",11,9.25138247808966,-0.25801229228734,2282.633333,2221.477783,953.1098633,1.035902301,7.726608956,33.9921875,12.140625,95.803125
"25",4,"Triple Stressor","3","+ 183 days",11,8.15344424065909,-0.242200588482559,2267.533333,2098.460449,455.4902039,1.934564145,7.79645848,34.38305556,12.11027778,92.74444444
"26",4,"Triple Stressor","1","+ 85 days",12,16.496474428447,-0.102924412160056,2296.633333,2192.438232,655.6460571,1.356950747,7.700356238,34.0757377,10.8295082,96.08360656
"27",4,"Triple Stressor","2","+ 134 days",12,15.1217233215447,-0.170073582452513,2282.633333,2221.477783,953.1098633,1.035902301,7.726608956,33.9921875,12.140625,95.803125
"28",4,"Triple Stressor","3","+ 183 days",12,13.9031613657336,-0.16445619863744,2267.533333,2098.460449,455.4902039,1.934564145,7.79645848,34.38305556,12.11027778,92.74444444
"29",4,"Triple Stressor","4","+ 274 days",12,13.3880725857213,-0.0407124402498997,2249.4,2116.803223,598.5944214,1.610865079,7.74134202,34.01629032,12.43548387,88.97903226
"30",4,"Triple Stressor","1","+ 85 days",13,11.7591651922577,-0.160287253312799,2296.633333,2192.438232,655.6460571,1.356950747,7.700356238,34.0757377,10.8295082,96.08360656
"31",4,"Triple Stressor","2","+ 134 days",13,10.3453424465131,-0.245370525471966,2282.633333,2221.477783,953.1098633,1.035902301,7.726608956,33.9921875,12.140625,95.803125
"32",4,"Triple Stressor","3","+ 183 days",13,8.86289769124815,-0.292440533057859,2267.533333,2098.460449,455.4902039,1.934564145,7.79645848,34.38305556,12.11027778,92.74444444
"33",4,"Triple Stressor","4","+ 274 days",13,7.9524045940673,-0.112891054358205,2249.4,2116.803223,598.5944214,1.610865079,7.74134202,34.01629032,12.43548387,88.97903226
"34",4,"Triple Stressor","5","+ 358 days",13,7.13918949709062,-0.121738425055581,2310.1,2233.301758,909.3082275,1.15814999,7.80879855,33.9837931,11.82758621,91.07758621
"35",5,"Triple Stressor","1","+ 85 days",14,7.08475094192106,-0.0875330110209186,2279.6,2208.188477,865.1761475,1.103044422,7.754154407,34.11098361,11.09180328,99.60655738
"36",5,"Triple Stressor","2","+ 134 days",14,6.82629877883219,-0.0744491088512275,2279.066667,2139.91748,552.0319214,1.662921968,7.91823496,33.971875,12.203125,93.30625
"37",5,"Triple Stressor","3","+ 183 days",14,6.82308269829961,-0.000961491705971127,2272.081024,2068.813965,368.9446716,2.252510121,7.800324651,34.30797222,12.29583333,90.88055556
"38",5,"Triple Stressor","1","+ 85 days",15,2.19302705186034,-0.166528523919159,2279.6,2208.188477,865.1761475,1.103044422,7.754154407,34.11098361,11.09180328,99.60655738
"39",5,"Triple Stressor","2","+ 134 days",15,1.95485689453573,-0.221639557591459,2279.066667,2139.91748,552.0319214,1.662921968,7.91823496,33.971875,12.203125,93.30625
"40",5,"Triple Stressor","3","+ 183 days",15,1.92739619349075,-0.0286682095181609,2272.081024,2068.813965,368.9446716,2.252510121,7.800324651,34.30797222,12.29583333,90.88055556
"41",5,"Triple Stressor","4","+ 274 days",15,1.74733255814322,-0.102662922871689,2259.062972,2162.320557,752.0655518,1.307279663,7.737700748,34.05854839,12.23870968,91.21290323
"42",6,"Triple Stressor","1","+ 85 days",18,4.03635949414122,-0.073078342442407,2293.133333,2210.941406,809.1728516,1.183726418,7.783280617,34.31557377,11.32786885,99.68032787
