"","voxel_size_x in mm","voxel_size_y in mm","voxel_size_z in mm","area in mm2","volume in mm3","SA_Vol in mm-1","centroid_x in pixels","centroid_y in pixels","centroid_z in pixels","weighted_centroid_x in pixels","weighted_centroid_y in pixels","weighted_centroid_z in pixels"
"SAMPLE-009-T5",0.00703299,0.00703299,0.00703299,193.336064641489,13.7936003382147,14.0163597538678,279.346048488324,259.042268152542,407.69713880136,279.714937142006,258.299391208944,409.036089255276
"SAMPLE-013-T5",0.00703299,0.00703299,0.00703299,130.969847550072,7.13918949709062,18.3451983734912,244.369776765292,247.392659916201,382.440590288599,243.830603450716,244.618896062435,383.736585124148
"SAMPLE-019-T5",0.00703299,0.00703299,0.00703299,83.0110953915542,5.99842190292566,13.8388223994492,277.37111833175,262.871820059031,242.784448285193,278.607073426684,261.748013708828,245.320388329925
"SAMPLE-023-T5",0.00703299,0.00703299,0.00703299,165.302336647554,14.1711970661499,11.6646699552576,284.348845815322,344.777005783351,280.143920264655,283.659787111118,345.761627244053,280.455775938335
"SAMPLE-029-T5",0.00703299,0.00703299,0.00703299,47.5028963125778,2.10283173414868,22.5899654932729,232.192735749986,321.200132311282,262.93382880859,230.67067536364,320.395957522264,262.161339699533
"SAMPLE-030-T5",0.00703299,0.00703299,0.00703299,80.9133110179114,4.82698100590735,16.7627158505261,411.177371022567,215.847589336252,275.126393783329,413.87571812783,216.94524557878,276.221007276292
"SAMPLE-033-T5",0.00703299,0.00703299,0.00703299,334.765944508614,22.3760248463769,14.9609212005688,438.467516337167,366.881223294436,510.618457898008,439.602463962374,365.517428996126,511.054057160549
"SAMPLE-039-T5",0.00703299,0.00703299,0.00703299,31.7952180080861,1.82771926507105,17.3961169068545,385.87216713079,135.633876558267,137.014263056688,391.115853390114,134.238398251047,137.873950693676
"SAMPLE-043-T5",0.00703299,0.00703299,0.00703299,79.5496460064633,4.59774142937585,17.3018964264074,310.885719450158,338.598058024267,232.827328451345,310.62583356342,341.469915732405,235.415524753934
"SAMPLE-049-T5",0.00703299,0.00703299,0.00703299,71.4606188838796,3.38936865677715,21.0837551533357,269.331711747459,201.076003344713,268.891814412545,270.648313428787,201.470743420564,269.434888253163
"SAMPLE-009-T4",0.00703299,0.00703299,0.00703299,195.137990704604,13.3588255597942,14.6074211262932,284.041042815298,262.064101805585,420.463927718672,284.137368755702,261.397784349021,421.457147398595
"SAMPLE-012-T4",0.00703299,0.00703299,0.00703299,129.071295060431,13.3880725857213,9.64076749913118,279.792783333769,282.645446858514,316.54343876104,279.878598636366,282.317020030668,317.154688465934
"SAMPLE-013-T4",0.00703299,0.00703299,0.00703299,128.45446884021,7.9524045940673,16.1529091384561,251.450780131581,254.25617186228,407.633857576763,251.374025141035,253.648881058027,407.658024682812
"SAMPLE-015-T4",0.00703299,0.00703299,0.00703299,43.9524839098195,1.74733255814322,25.1540462088826,168.336110407668,156.550201556388,174.902270435954,167.959465896387,156.521378789211,176.447162480562
"SAMPLE-018-T4",0.00703311,0.00703311,0.00703311,43.7521093769719,2.56160098195578,17.0799861825346,204.850127219724,187.603664960218,203.166131101165,204.89015774581,186.799899567007,203.528867545967
"SAMPLE-019-T4",0.00703299,0.00703299,0.00703299,86.3699364308731,6.33688715796216,13.6297103416701,280.039674027252,271.049483249016,295.282250439226,280.283092178799,270.773517948941,295.901139875838
"SAMPLE-022-T4",0.00703299,0.00703299,0.00703299,138.913100647224,13.9035899445563,9.99116783515413,318.347138075722,260.447130552108,349.867123602962,318.094605930504,259.611518565443,350.629164994649
"SAMPLE-023-T4",0.00703299,0.00703299,0.00703299,160.162567434218,13.3670193467996,11.9819208216053,288.335743374988,347.735260804524,283.495505641604,287.791236817899,348.733419001806,284.761571148653
"SAMPLE-025-T4",0.00703299,0.00703299,0.00703299,89.7204270423377,10.6309244839746,8.43956959506065,300.413048669075,431.696491378537,252.392244140569,300.036609872005,432.068728413988,251.671722820417
"SAMPLE-028-T4",0.00703299,0.00703299,0.00703299,285.205015476275,15.9479860694176,17.8834502510128,395.193109978016,416.727463074896,442.591149819477,395.219000362747,417.88440957785,442.120272138269
"SAMPLE-029-T4",0.00703299,0.00703299,0.00703299,111.687659420579,3.90503525288081,28.6009349949364,172.715977872129,290.252724048083,505.334158865887,172.23768490029,290.407631453785,506.157082438226
"SAMPLE-030-T4",0.00703299,0.00703299,0.00703299,152.03948230106,7.67549884265918,19.808417070699,377.977248900024,342.038750197153,264.426987344159,378.859829667449,342.012464843576,265.167814210278
"SAMPLE-032-T4",0.00703299,0.00703299,0.00703299,279.255445933812,24.5304161435386,11.384048452328,334.374374076028,342.763178046693,436.905174933536,333.917389497156,342.793139090619,436.068333105307
"SAMPLE-033-T4",0.00703299,0.00703299,0.00703299,300.260811820411,20.7369947133332,14.4794757375017,437.715318799229,367.574857871257,506.763757760554,437.930788978851,367.143037363844,506.044324953543
"SAMPLE-035-T4",0.00703299,0.00703299,0.00703299,195.884552857745,22.6681291438605,8.64140801451181,369.646172195162,357.996082053165,410.639552819825,369.94346066592,358.053627078396,409.573137099435
"SAMPLE-038-T4",0.00703299,0.00703299,0.00703299,218.389280733584,8.72619774467374,25.0268544357574,422.560691578302,360.121716231118,390.676679565613,422.810948150045,359.050730474314,391.756860244238
"SAMPLE-039-T4",0.00703299,0.00703299,0.00703299,66.165090017438,3.42971107357348,19.2917387494391,396.209748530952,281.699444249813,200.261328258363,398.312723066561,280.760245018641,200.314770054222
"SAMPLE-042-T4",0.00703299,0.00703299,0.00703299,42.4659138363865,2.57473145734323,16.4933370877464,182.644721846653,264.251763626908,371.863077050496,182.599553132862,263.044505048802,373.410268042443
"SAMPLE-043-T4",0.00703299,0.00703299,0.00703299,104.814227002485,5.90809195858705,17.7407913988447,307.186606684534,348.558098441652,261.341295864657,306.893407544025,349.6151846325,261.822025797891
"SAMPLE-049-T4",0.00703299,0.00703299,0.00703299,119.727264531554,6.22615380038434,19.2297312867798,311.7437952737,252.406105038114,360.567190015671,311.671234087428,252.900939485066,359.593776372368
"SAMPLE-002-T3",0.00703299,0.00703299,0.00703299,202.565371438653,9.6585024426542,20.9727514841304,340.295370101442,317.456120831439,257.417244454933,341.041525084862,317.357887433448,258.792952230058
"SAMPLE-003-T3",0.00703299,0.00703299,0.00703299,237.135127837088,15.6272852674343,15.1744288133816,349.831465088255,319.446874626927,387.011826311119,350.760370081747,318.674094920291,387.815665488724
